username,timestamp_text,comment_text,cleaned_tokens,cleaned_text
@richardthomas1408,5 days ago,"Its almost like if you follow closely. It explains what is happening today. And by the comments, proves it works. Lol",almost|like|follow|closely|explains|happening|today|comment|prof|work|lol,almost like follow closely explains happening today comment prof work lol
@latestinfotv8147,6 days ago,Is this AGT btw?😅,agt|btw,agt btw
@onsearchfocus,6 days ago,"WTF?? How? I mean, H O W? I know he scanned the room and picked people easier to read. Still, how?? Impressive.",wtf|mean|know|scanned|room|picked|people|easier|read|still|impressive,wtf mean know scanned room picked people easier read still impressive
@LebenGamezso1slOo01l,6 days ago,"Flavor of the month, he is doing nothing that many many havent done before.  Just the young generations havent been around to see the older ones do it, so its all new to them.",flavor|month|nothing|many|many|havent|done|young|generation|havent|around|see|older|one|new,flavor month nothing many many havent done young generation havent around see older one new
@johnsample5278,6 days ago,"So now I need to remember a trick so I can remember people’s names. If I could do that, I’d just remember their names. Feels like we’re moving in the wrong direction.",need|remember|trick|remember|people|name|could|remember|name|feel|like|moving|wrong|direction,need remember trick remember people name could remember name feel like moving wrong direction
@AdiVibeShots,6 days ago,Wtf even I guessed Barack Obama😢,wtf|even|guessed|barack|obama,wtf even guessed barack obama
@expo-native,6 days ago,As an AI Engineer I keep updated with Oz due to his absolute and undefined brilliance in which opens doors to an open space in my mind with new opportunity.,engineer|keep|updated|due|absolute|undefined|brilliance|open|door|open|space|mind|new|opportunity,engineer keep updated due absolute undefined brilliance open door open space mind new opportunity
@yumorok_tut,6 days ago,"O man, you are great ❤❤",man|great,man great
@davidmcdonnell767,6 days ago,You can have dinner with anyone alive or dead...and u choose O'bama 🤣,dinner|anyone|alive|deadand|choose|obama,dinner anyone alive deadand choose obama
@simonforbes2453,6 days ago,Stooooooges!!,stooooooges,stooooooges
@khalilmatar8474,7 days ago,"So what is the lesson here, other than recalling peoples' names?",lesson|recalling|people|name,lesson recalling people name
@ONEQUESTION_YT,7 days ago,So informative 🎉,informative,informative
@TaedyBear-ms3kz,7 days ago,"Oh oh... I used to read comments before watching videos, so I'm not watching this.",used|read|comment|watching|video|watching,used read comment watching video watching
@ShodiyabegimQulmurodova,7 days ago,This is the best show i ever watch,best|show|ever|watch,best show ever watch
@sln7839,7 days ago,Don't read anyone's mind and spoil your peace.,dont|read|anyones|mind|spoil|peace,dont read anyones mind spoil peace
@fenderbendermender7253,7 days ago,I would of never guessed anyone would want to have dinner with Trevor Noah...,would|never|guessed|anyone|would|want|dinner|trevor|noah,would never guessed anyone would want dinner trevor noah
@MaidahHabib,7 days ago,"Was it scripted or not? I'm soo confused! Btw,he's amazing!!! 🤯",scripted|soo|confused|btwhes|amazing,scripted soo confused btwhes amazing
@Sherif.Fanous,8 days ago,I can’t believe that anyone actually believe this B.S. So so so fake,cant|believe|anyone|actually|believe|fake,cant believe anyone actually believe fake
@maverick627uk,8 days ago,Greatest mind reader? 🤣🤣🤣🤣🤣🤣,greatest|mind|reader,greatest mind reader
@klaasklinkert505,9 days ago,He selects the people. And is that a normal frisbee flight? Great trick.,selects|people|normal|frisbee|flight|great|trick,selects people normal frisbee flight great trick
@bobbymckenzie3202,9 days ago,He's a CIA project,he|cia|project,he cia project
